Italiaans, Nederlands 
in aeoreo, in het vliegtuig
scusi, excuseer
abbiamo, wij hebben
posti, stoelen
nove, negen
e, en 
si, ja
certo, zeker
per favore, alstublieft 
buon giorno, goedendag
siamo, wij zijn
sono, ik ben 
no, nee 
purtroppo, helaas 
andiamo, wij gaan 
a, naar
anche, ook 
Lei, u 
vado, ik ga
di, van
sono stato, ik ben geweest
aprile, april 
è, is hij het
è, het is 
molto, zeer 
bello, mooi 
per, voor 
il mio, mijn 
ditta, bedrijf 
che cosa, wat 
fa, u doet 
lavoro, ik werk
con, met 
Signora, mevrouw 
lavora, hij werkt 
ho, ik heb 
ho lavorato, ik heb gewerkt 
un, een 
una, een 
scuola, school 
tre, drie 
anno, jaar
anni, jaren 
adesso, nu 
al, bij 
alla, bij de 
siamo stati, wij zijn geweest 
due, twee 
io, ik 
cinque, vijf 
la Banca d'Italia, de Bank van Italië 
como, hoe 
com'è, hoe is 
il lavoro, het werk 
buono, goed 
noiosa, saai 
troppo, te veel 
ma, maar 
molti soldi, een heleboel geld 
casa, huis 
grande, groot 
quattro, vier 
bambino/i, kind/kinderen 
moglie, vrouw 
americana, Amerikaanse 
ha, hij heeft 
amica, vriendin 
in, in/op 
telefona, hij belt 
semppre, altijd 
costa, het kost 
in vacanza, op vakantie 
agosto, augustus 
senza, zonder 
là, daar 
non, niet 
il telefono, de telefoon 